"Report ID","Category of Incident","Country of Incident","Date of Incident","Subject","Primary Source","Source Type","Additional Sources","Name of Organisation Providing Information","Transport Mode","Where Found","Method of Concealment","Method of Concealment - Details","Detection","Outcome","Number of People Arrested","Number of People Charged","Number of People Fined","Number of People Imprisoned","Amount of Fine","Currency of Fine","Fine in USD","Length of Imprisonment","Unit of Time"
"MOR22297","1. Seizure","Poland","2002-12-18 00:00:00","3 Queen conch shells seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22298","1. Seizure","Poland","2002-12-18 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22301","1. Seizure","Poland","2002-12-22 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22317","1. Seizure","United States of America","2018-08-01 00:00:00","Man charged for possession of around 300 reptiles in USA","https://www.nytimes.com/2019/07/07/nyregion/reptile-seizure-allegany.html","Media","","","","In Premises (either domestic or business)","","Turtles eggs were found inside 20 boxes.","Intelligence","Charged - No further details","","1","","","","","","",""
"MOR22380","1. Seizure","Canada","2019-06-01 00:00:00","2 dead pangolin, 16 bear penis bones and black-bear parts seized in Montreal","https://globalnews.ca/news/5481490/pangolins-canada-anti-poaching/","Media","Robin des Bois On the Trail No. 25 page 51","","","In Postal Parcel (at postal depot or sorting office)","","The 2 dead pangolins were found in a postal parcel coming from Cameroon,","Operation","Confiscation","","","","","","","","",""
"MOR22408","1. Seizure","China","2015-07-01 00:00:00","2 ivory parcels seized by Jinan customs at Jinan Yaoqiang International Airport","http://mp.weixin.qq.com/s?__biz=MjM5NDAxMTcxMQ==&mid=203937175&idx=1&sn=290afc3b5e6e7785b48abefddc751ffc#rd [LINK NO LONGER WORKS]","Media","","Environmental Investigation Agency (EIA)","Air","In Postal Parcel (at postal depot or sorting office)","","The contraband was found inside 2 parcels","X-ray","Confiscation","","","","","","","","",""
"MOR22464","1. Seizure","Poland","2003-01-14 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22485","1. Seizure","Poland","2003-02-08 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22486","1. Seizure","Poland","2003-02-10 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22487","1. Seizure","Poland","2003-02-11 00:00:00","1 bear skin seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22497","1. Seizure","Poland","2003-02-14 00:00:00","2 Queen conch shells seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22540","1. Seizure","Poland","2003-04-29 00:00:00","2 cactus derivatives seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22553","1. Seizure","Poland","2003-06-01 00:00:00","2 Queen conch shells seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22557","1. Seizure","Poland","2003-06-12 00:00:00","1 body of an alligator seized in Warsaw","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22558","1. Seizure","Poland","2003-06-13 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22562","1. Seizure","Poland","2003-06-25 00:00:00","1 bear skin seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22565","1. Seizure","Poland","2003-07-10 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22569","1. Seizure","Poland","2003-07-14 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22572","1. Seizure","Poland","2003-07-21 00:00:00","1 skin of African rock python seized in Warsaw","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22580","1. Seizure","Poland","2003-08-08 00:00:00","1 Queen conch shell and 3 pieces of coral seized in Warsaw","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22582","1. Seizure","Poland","2003-08-12 00:00:00","9 pieces of coral seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22600","1. Seizure","Poland","2003-10-07 00:00:00","2 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22619","1. Seizure","Poland","2003-12-08 00:00:00","2 Queen conch shells seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22635","1. Seizure","Poland","2004-01-18 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22636","1. Seizure","Poland","2004-01-19 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22639","1. Seizure","Poland","2004-02-01 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22656","1. Seizure","Poland","2004-03-25 00:00:00","22 pieces of coral seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22663","1. Seizure","Poland","2004-04-28 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22672","1. Seizure","Poland","2004-06-02 00:00:00","1 body of an America alligator seized in Poznan","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22685","1. Seizure","Poland","2004-06-19 00:00:00","1 Queen conch shell seized in Warsaw","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22690","1. Seizure","Poland","2004-07-01 00:00:00","5 live cactus and 3 live Spurges seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22692","1. Seizure","Poland","2004-07-12 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22700","1. Seizure","Poland","2004-07-22 00:00:00","1 Queen conch shell and 7 pieces of coral seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22704","1. Seizure","Poland","2004-08-02 00:00:00","3 Queen conch shells seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22706","1. Seizure","Poland","2004-08-04 00:00:00","1 piece of coral seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22709","1. Seizure","Poland","2004-08-08 00:00:00","11 pieces of raw coral seized in Warsaw","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22710","1. Seizure","Poland","2004-08-10 00:00:00","1 belt made from crocodile skin seized in Warsaw","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22917","1. Seizure","Mexico","2018-09-01 00:00:00","Mexico seizes skins and taxidermy of mammals, bird and reptiles","https://www.gob.mx/profepa/prensa/recibe-profepa-de-policia-federal-pieles-y-taxidermias-de-jaguar-ocelote-tucan-y-cocodrilo-asegurados-en-mensajeria-con-destino-a-tijuana?idiom=es","Government Agency (Other)","","","","In Postal Parcel (at postal depot or sorting office)","Other","All items were found inside cardboard boxes and without any marking system.","Dogs","Confiscation","","","","","","","","",""
"MOR22922","1. Seizure","Mexico","2018-09-01 00:00:00","14.5 m3 of wood seized in Corregidora, Queretaro","https://www.gob.mx/profepa/prensa/clausura-profepa-cat-por-no-contar-con-aviso-de-funcionamiento-y-asegura-14-5-m3-de-madera-en-corregidora-queretaro?idiom=es","Government Agency (Other)","","","","In Premises (either domestic or business)","","Seized from a Storage Center for Raw Materials and Forest Products.","Intelligence","Confiscation","","","","","","","","",""
"MOR22946","1. Seizure","Poland","2004-08-15 00:00:00","17 pieces of coral seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22948","1. Seizure","Poland","2004-08-30 00:00:00","11 pieces of coral seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22949","1. Seizure","Poland","2004-08-30 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22951","1. Seizure","Poland","2008-09-04 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22953","1. Seizure","Poland","2004-09-13 00:00:00","1 piece of coral seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22962","1. Seizure","Poland","2004-10-13 00:00:00","2 Queen conch shells seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22963","1. Seizure","Poland","2004-10-13 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22964","1. Seizure","Poland","2004-10-13 00:00:00","5 Queen conch shells seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22974","1. Seizure","Poland","2004-10-27 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22981","1. Seizure","Poland","2004-11-29 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22982","1. Seizure","Poland","2004-11-29 00:00:00","1 Queen conch shell seized in Poznan","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22984","1. Seizure","Poland","2004-12-03 00:00:00","3 Queen conch shells seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR22989","1. Seizure","Poland","2004-12-14 00:00:00","1 alligator head seized in Katowice","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23000","1. Seizure","Mexico","2018-09-01 00:00:00","22 m3 of irregular timber seized in Othon P. Blanco, Quintana Roo","https://www.gob.mx/profepa/prensa/la-profepa-realizo-peritaje-en-apoyo-al-mpf-de-madera-preciosa-y-dura-tropical-en-quintana-roo?idiom=es","Government Agency (Other)","","","Land - Vehicle","Inside Vehicle","Other","Roundwood found in the trunk of the vehicle.","Intelligence","Confiscation","","","","","","","","",""
"MOR23011","1. Seizure","Poland","2005-01-24 00:00:00","1 Queen conch shell seized in Poznan","Minsitry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23012","1. Seizure","Poland","2005-01-27 00:00:00","1 body of an American alligator seized in Warsaw","Minsitry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23018","1. Seizure","Poland","2005-02-14 00:00:00","1 Queen conch shell seized in Gdynia","Minsitry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23019","1. Seizure","Poland","2005-02-14 00:00:00","3 pieces of coral seized in Warsaw","Minsitry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23026","1. Seizure","Poland","2005-03-08 00:00:00","1 piece of coral and 2 Queen conch shells seized in Gdynia","Minsitry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23031","1. Seizure","Poland","2005-03-22 00:00:00","1 body of an american alligator seized in Katowice","Minsitry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23036","1. Seizure","Poland","2005-03-30 00:00:00","1 wood bison skull seized in Katowice","Minsitry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23037","1. Seizure","Poland","2005-04-01 00:00:00","1 Queen conch shell seized in Warsaw","Minsitry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23039","1. Seizure","Poland","2005-04-07 00:00:00","1 Queen conch shell seized in Poznan","Minsitry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23048","1. Seizure","Poland","2005-04-26 00:00:00","1 American alligator body seized in Warsaw","Minsitry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23053","1. Seizure","Poland","2005-05-04 00:00:00","1 Queen conch shell seized in Warsaw","Minsitry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23061","1. Seizure","Poland","2005-05-18 00:00:00","1 Queen conch shell seized in Gdynia","Minsitry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23073","1. Seizure","Poland","2005-06-13 00:00:00","2 pieces of coral seized in Gdynia","Minsitry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23080","1. Seizure","Poland","2005-06-27 00:00:00","1 piece of coral seized in Gdynia","Minsitry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23101","1. Seizure","Mexico","2018-09-01 00:00:00","9.5 m3 of sacred fir being transported through Cuernavaca, Morelos","https://www.gob.mx/profepa/prensa/asegura-profepa-9-5-m3-de-madera-de-oyamel-y-un-vehiculo-en-cuernavaca-morelos?idiom=es","Government Agency (Other)","","","Land - Vehicle","Inside Vehicle","","Wood found inside the trunk of the vehicle, which was covered by canvas.","Routine Inspection","Confiscation","","","","","","","","",""
"MOR23232","1. Seizure","United States of America","2012-09-20 00:00:00","1 piece of Cheetah skin exported from Nigeria seized in the USA","https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23233","1. Seizure","United States of America","2014-08-29 00:00:00","1 cheetah skin & 4 skin pieces seized in the USA","https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23234","1. Seizure","United States of America","1982-01-01 00:00:00","1 Cheetah skin seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23235","1. Seizure","United States of America","1982-01-01 00:00:00","2 Cheetah skins seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23236","1. Seizure","United States of America","1983-01-01 00:00:00","3 Cheetah skins seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23237","1. Seizure","United States of America","1984-01-01 00:00:00","1 Cheetah skin seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23238","1. Seizure","United States of America","1984-01-01 00:00:00","1 Cheetah trophy seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23239","1. Seizure","United States of America","1984-01-01 00:00:00","1 Cheetah trophy seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23240","1. Seizure","United States of America","1984-01-01 00:00:00","3 Cheeath skins seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23241","1. Seizure","United States of America","1985-01-01 00:00:00","1 Cheetah skin seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23242","1. Seizure","United States of America","1985-01-01 00:00:00","1 Cheetah trophy seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23243","1. Seizure","United States of America","1985-01-01 00:00:00","1 Cheetah trophy seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23245","1. Seizure","United States of America","1986-01-01 00:00:00","1 Cheetah skin seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23246","1. Seizure","United States of America","1986-01-01 00:00:00","1 Cheetah skin seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23247","1. Seizure","United States of America","1987-01-01 00:00:00","1 Cheetah skin seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23248","1. Seizure","United States of America","1987-01-01 00:00:00","1 Cheetah trophy seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23249","1. Seizure","United States of America","1987-01-01 00:00:00","3 Cheetah skins seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23250","1. Seizure","United States of America","1989-01-01 00:00:00","1 Cheetah skin seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23251","1. Seizure","United States of America","1990-01-01 00:00:00","1 cheetah skull seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23252","1. Seizure","United States of America","1990-01-01 00:00:00","2 Cheetah skins seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23253","1. Seizure","United States of America","1991-01-01 00:00:00","1 Cheetah skin seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23254","1. Seizure","United States of America","1993-01-01 00:00:00","1 Cheetah skin seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23255","1. Seizure","United States of America","1993-01-01 00:00:00","1 Cheetah skin seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23256","1. Seizure","United States of America","1994-01-01 00:00:00","1 Cheetah skin seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23257","1. Seizure","United States of America","1994-01-01 00:00:00","3 Cheetah skins seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23258","1. Seizure","United States of America","1998-01-01 00:00:00","1 Cheetah skin seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23259","1. Seizure","United States of America","2002-01-01 00:00:00","1 Cheetah skin seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23260","1. Seizure","United States of America","2005-01-01 00:00:00","2 Cheetah skins seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23261","1. Seizure","United States of America","2006-01-01 00:00:00","1 Cheetah skin seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23262","1. Seizure","United States of America","2006-01-01 00:00:00","1 Cheetah skin seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23263","1. Seizure","United States of America","2007-01-01 00:00:00","2 Cheetah trophies seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23264","1. Seizure","United States of America","2009-01-01 00:00:00","1 leather product made from Cheetah seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23265","1. Seizure","United States of America","2009-01-01 00:00:00","2 Cheetah skins seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23266","1. Seizure","United States of America","2009-01-01 00:00:00","2 Cheetah products seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23267","1. Seizure","United States of America","2009-01-01 00:00:00","2 derivatives from Cheetah seized in the USA","CITES Trade Database","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23268","1. Seizure","United States of America","2012-05-27 00:00:00","1 Cheetah skin was seized in the USA","https://cites.org/sites/default/files/eng/com/sc/66/E-SC66-32-05_Annex.pdf","CITES Management Authority","","Cheetah Conservation Fund (CCF)","","","","","","Confiscation","","","","","","","","",""
"MOR23291","1. Seizure","Poland","2005-07-06 00:00:00","1 Queen conch shell seized in Warsaw","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23292","1. Seizure","Poland","2005-07-08 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23296","1. Seizure","Poland","2005-07-18 00:00:00","1 Queen conch shell seized in Warsaw","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23297","1. Seizure","Poland","2005-07-19 00:00:00","1 Queen conch shell seized in Warsaw","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23310","1. Seizure","Poland","2005-08-16 00:00:00","1 bear paw clam shell and 1 china clam shell was seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23311","1. Seizure","Poland","2005-08-17 00:00:00","1 Queen conch shell was seized in Wroclaw","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23317","1. Seizure","Poland","2005-08-29 00:00:00","2 bodies of American alligators seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23318","1. Seizure","Poland","2008-08-30 00:00:00","2 American black bear skins seized in Przemyśl","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23325","1. Seizure","Poland","2005-09-10 00:00:00","1 body of an America alligator seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23326","1. Seizure","Poland","2005-09-10 00:00:00","3 Queen conch shells seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23331","1. Seizure","Poland","2005-09-15 00:00:00","1 American alligator head seized in Warsaw","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23334","1. Seizure","Poland","2005-09-30 00:00:00","8 pieces of coral seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23341","1. Seizure","Poland","2005-10-11 00:00:00","1 piece of coral seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23343","1. Seizure","Poland","2005-10-12 00:00:00","8 pieces of coral seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23348","1. Seizure","Poland","2005-10-18 00:00:00","1 Queen conch shell seized in Katowice","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23355","1. Seizure","Poland","2005-10-27 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23356","1. Seizure","Poland","2005-10-28 00:00:00","1 Queen conch shell and 6 pieces of coral seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23362","1. Seizure","Poland","2005-11-11 00:00:00","3 American alligator heads seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23373","1. Seizure","Poland","2005-11-25 00:00:00","16 water snake skins seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23389","1. Seizure","Poland","2005-12-13 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23393","1. Seizure","Poland","2005-12-16 00:00:00","1 piece of coral seized in Gdyna","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR2342","1. Seizure","United States of America","2012-02-01 00:00:00","37 rhino horn seized at Long Beach Airport - rhino smuggling gang convicted","http://www.justice.gov/opa/pr/2012/February/12-enrd-246.html","Government Agency (Other)","http://www.bbc.co.uk/news/world-us-canada-17144762

 
https://www.sharkonline.org/images/RodeoCriminals/wadesteffen5.pdf
https://www.fws.gov/le/pdf/5-16-13%20-Operation-Crash-Overview.pdf
https://www.fws.gov/le/pdf/rhino-horns-news-release-09172012.pdf","","Air","","","","Investigation","Conviction - court fine & imprisonment","6","6","6","6","1520000","USD US Dollar","1520000","231","Months"
"MOR23486","1. Seizure","Poland","2006-02-14 00:00:00","1 piece of coral weighing 4kg seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23489","1. Seizure","Poland","2006-02-17 00:00:00","1 Queen conch shell seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
"MOR23497","1. Seizure","Poland","2006-02-28 00:00:00","2 Queen conch shells seized in Gdynia","Ministry of Finance - Poland","CITES Management Authority","","","","","","","","Confiscation","","","","","","","","",""
