"Report ID","Category of Incident","Country of Incident","Date of Incident","Subject","Primary Source","Source Type","Additional Sources","Name of Organisation Providing Information","Transport Mode","Where Found","Method of Concealment","Method of Concealment - Details","Detection","Outcome","Number of People Arrested","Number of People Charged","Number of People Fined","Number of People Imprisoned","Amount of Fine","Currency of Fine","Fine in USD","Length of Imprisonment","Unit of Time"
"MOR27647","1. Seizure","United States of America","2017-07-01 00:00:00","7 Sandbar sharks seized from a private residence in LaGrangeville, State of New York - 1 convicted","https://www.dailymail.co.uk/news/article-6840523/Shark-trafficking-LaGrangeville-Man-charged-DEC-search.html","Media","https://apnews.com/a2fe7f5a235d45ceb6a2448ee5abfa00","","","In Premises (either domestic or business)","","The sharks were being kept in a pool at the suspects property.","Investigation","Conviction","1","1","","","","","","",""
"MOR27766","1. Seizure","United States of America","2020-01-24 00:00:00","Over 500 kg of shark fins seized at Miami International Airport","https://www.local10.com/news/local/2020/02/06/700000-worth-of-shark-fins-confiscated-at-miami-airport-cargo-facility/","Media","https://www.theguardian.com/us-news/2020/feb/05/florida-authorities-seize-1400lbs-shark-fins-bag-full-of-drugs
https://www.wildlifeforensicscience.org/wp-content/uploads/2020/08/SWFS-Newsletter-July-2020-a.pdf","","Air","In Freight (as on plane)","","Fins were found in boxes","","Confiscation","","","","","","","","",""
"MOR27768","1. Seizure","Mexico","2019-05-01 00:00:00","10,400 kg of shark fins seized in Manzanillo, Colima","https://www.gob.mx/sat/prensa/el-sat-asegura-10-4-toneladas-de-aletas-de-tiburon-026-2019","Government Agency (Other)","","","","In Container (as on ship)","","The shark fins were found in containers","","Charged - No further details","","1","","","","","","",""
"MOR27769","1. Seizure","Mexico","2017-04-01 00:00:00","Shark fins seized from a package in Mexico City","https://www.gob.mx/policiafederal/prensa/asegura-cns-policia-federal-aletas-de-tiburon-en-empresa-de-paqueteria-en-la-ciudad-de-mexico","Government Agency (Other)","","","","In Postal Parcel (at postal depot or sorting office)","","Due to inconsistencies in the documentation accompanied with the shipment the authorities decided to seize the goods. Found in boxes wrapped with tape.","","Confiscation","","","","","","","","",""
"MOR27914","1. Seizure","Mexico","2019-04-29 00:00:00","Tiger cub seized from private residence in Apodaca","https://www.posta.com.mx/nuevo-leon/profepa-rescata-tigre-de-bengala-de-casa-en-apodaca","Media","","Environmental Investigation Agency (EIA)","","In Premises (either domestic or business)","","The specimen was seized as the owner did not have the correct documentation or Management Plan for keeping the tiger","Intelligence","Confiscation","","","","","","","","",""
"MOR27922","9. Enforcement Action / Prosecution","United States of America","2019-06-28 00:00:00","Man arrested and prosecuted for buying a tiger skin rug in Pennsylvania","https://www.inquirer.com/news/tiger-skin-rug-endangered-species-loren-varga-20190628.html","Media","https://www.inquirer.com/news/new-jersey/loren-varga-tiger-skin-rug-sentencing-robert-wood-johnson-20191113.html","Environmental Investigation Agency (EIA)","","","","","","Conviction - imprisonment","","1","","1","","","","1","Days"
"MOR27936","1. Seizure","Mexico","2019-01-01 00:00:00","1 Female tiger cub (10 kg) seized in Vivenza, Nuevo Leon","https://www.excelsior.com.mx/nacional/profepa-asegura-tigre-de-bengala-bebe-en-nuevo-leon/1289699","Media","http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_23.pdf","Environmental Investigation Agency (EIA)","","In Premises (either domestic or business)","","Seized from a private residence. The owner was not able to provide having a special management plan for the animal and was therefore confiscated.","","Confiscation","","","","","","","","",""
"MOR27965","1. Seizure","United States of America","2020-01-27 00:00:00","Dead birds seized at Washington Dulles International Airport, one suspect","https://www.cbp.gov/newsroom/local-media-release/dulles-cbp-intercepts-dead-birds-passenger-baggage-china","Customs","","C4ADS Air Seizure Database","Air","In Personal Baggage","Amongst other goods","Concealed inside a package with pictures of a cat and dog which the passenger claimed to be cat food.","Routine Inspection","Confiscation","","","","","","","","",""
"MOR27970","1. Seizure","Mexico","2020-02-01 00:00:00","2 live geckos seized at Merida International Airport","https://www.gob.mx/guardianacional/prensa/guardia-nacional-intercepta-envio-con-dos-especies-de-reptiles-exoticos-en-aeropuerto-de-merida?idiom=es","Government Agency (Other)","https://www.riviera-maya-news.com/two-geckos-seized-after-discovered-being-illegally-shipped/2020.html","C4ADS Air Seizure Database","Air","In Postal Parcel (at postal depot or sorting office)","","Geckos were found in plastic containers","","Confiscation","","","","","","","","",""
"MOR27971","1. Seizure","Mexico","2020-02-04 00:00:00","8.5 kg of totoaba swim bladders seized at Abraham González airport","https://diario.mx/juarez/aseguran-ocho-mil-500-gramos-de-totoaba-en-el-aeropuerto-20200204-1623695.html","Media","","C4ADS Air Seizure Database","Air","In Postal Parcel (at postal depot or sorting office)","","","","Confiscation","","","","","","","","",""
